DELIV_ID,EST_TS,EST_DT,HR,MINUTE,STORE,DASHER_ID,D2R,DELIV_CLAT,LATE_FLG,MINUTES_TO_CANCEL,DELIV_CANCELLED_AT,CANCEL_FLG,COMPLAINT,REQ,MISS,SUB,FOUND,REVENUE,N_CATEGORY_TYPES,N_SUBS_TYPES,TOTAL_ITEMS
9140e853-ea67-4eee-ba76-85fafcc7da6d,2022-10-15 03:59:09,2022-10-15,3,59,Grocery1,16990594,0.083333,0.366667,0,,,0,0,8,1,0,7,31.84,5,0,8
b18ba347-9325-476a-a3b1-c3f056d7f817,2022-10-15 03:59:03,2022-10-15,3,59,DashMart1,1851065,0.0,0.366667,0,,,0,0,5,0,0,5,25.45,4,0,5
6498db65-b205-4fa1-99b6-54f4c270149f,2022-10-15 03:57:18,2022-10-15,3,57,DashMart1,17633492,0.033333,0.133333,0,,,0,0,5,0,0,5,30.849999999999994,4,0,5
ad617ed7-1907-4c4c-8d06-9671724c1c20,2022-10-15 03:57:15,2022-10-15,3,57,Grocery1,606237,6.75,0.45,0,,,0,0,35,4,4,31,126.35000000000004,9,4,35
8ee1a2a8-b367-4d52-ac9f-b4406094cfe9,2022-10-15 03:56:09,2022-10-15,3,56,DashMart1,18641198,0.083333,1.766667,0,,,0,0,1,0,0,1,12.99,1,0,1
045e4d8f-de15-47b6-b84b-55ca55fd9dcf,2022-10-15 03:55:33,2022-10-15,3,55,DashMart1,15300800,3.4,0.166667,0,,,0,0,5,0,0,5,26.550000000000004,3,0,5
8a5d10a5-2204-468e-a707-87548c5573c5,2022-10-15 03:54:40,2022-10-15,3,54,DashMart1,18641198,0.083333,1.766667,0,,,0,0,5,0,0,5,22.66,3,0,5
9e985454-9df8-4c3c-8469-ddc02de1b2f1,2022-10-15 03:53:00,2022-10-15,3,53,Grocery1,,,,0,13,2022-10-15 00:06:26.000000 UTC,1,0,1,1,0,0,10.99,1,0,1
163c783c-f590-412c-becd-a9533707573c,2022-10-15 03:50:59,2022-10-15,3,50,Grocery1,2446877,0.816667,0.1,0,,,0,0,7,2,0,5,40.2,5,0,7
cbdd8681-d63e-483c-8065-4c5ac196a0ad,2022-10-15 03:48:58,2022-10-15,3,48,DashMart1,21311607,23.433333,5.616667,0,,,0,0,3,0,0,3,14.47,2,0,3
79ddbeb5-aab6-4591-b6db-2098de0c5ddb,2022-10-15 03:47:54,2022-10-15,3,47,Grocery1,3348411,6.6,1.516667,0,,,0,0,3,0,0,3,16.55,3,0,3
187b971a-18f8-4123-b62c-f3fdb2cff3ee,2022-10-15 03:46:17,2022-10-15,3,46,DashMart1,14768926,2.85,6.483333,0,,,0,0,3,0,0,3,14.17,2,0,3
311b9f3f-7a70-4d0f-9159-f6e032d64acc,2022-10-15 03:45:05,2022-10-15,3,45,DashMart1,18892072,0.033333,0.516667,0,,,0,0,4,0,0,4,29.160000000000004,3,0,4
92d057a8-b4d6-49c8-950f-dc5f16d2dcf4,2022-10-15 03:43:16,2022-10-15,3,43,Grocery2,16072547,9.033333,17.683333,0,,,0,0,2,0,0,2,10.540000000000001,2,0,2
378ea40a-c32d-4927-a67b-60e33f80804a,2022-10-15 03:42:31,2022-10-15,3,42,Grocery1,5784382,1.983333,15.133333,0,,,0,0,9,0,0,9,38.5,7,0,9
80efce90-254a-450a-b5ef-c02e78ac49c5,2022-10-15 03:42:14,2022-10-15,3,42,DashMart1,4249481,6.433333,0.4,0,,,0,0,2,0,0,2,4.88,2,0,2
1a6c7e30-357b-45e2-b2ff-341c6bbec222,2022-10-15 03:42:03,2022-10-15,3,42,Grocery2,20827401,0.066667,13.033333,0,,,0,0,9,1,1,8,39.099999999999994,5,1,9
5fbbd4b3-c8dc-401d-959f-052520a1c6dc,2022-10-15 03:39:23,2022-10-15,3,39,DashMart1,15510588,1.75,2.316667,0,,,0,0,1,0,0,1,2.99,1,0,1
2e3e72b9-7cf3-4495-8804-f2a78a58d7b3,2022-10-15 03:37:45,2022-10-15,3,37,DashMart1,17342001,1.0,0.616667,1,,,0,0,2,0,0,2,10.98,2,0,2
9741fa33-6eeb-40e1-ab34-fc4288b0bdab,2022-10-15 03:37:11,2022-10-15,3,37,DashMart1,10935880,4.3,2.533333,0,,,0,0,1,0,0,1,17.79,1,0,1
e7310532-63ac-45cb-97fa-295937b9517f,2022-10-15 03:32:37,2022-10-15,3,32,Grocery2,16801495,2.433333,7.666667,0,,,0,0,7,1,1,6,61.3,5,1,7
e8c1ec3a-6f0b-4d51-ac6a-dfe887539024,2022-10-15 03:29:54,2022-10-15,3,29,Grocery1,5784382,0.566667,0.166667,0,,,0,0,7,2,2,5,26.8,5,2,7
23c43bcf-c547-42b4-8d7b-0ad149767b11,2022-10-15 03:27:55,2022-10-15,3,27,Grocery2,17891870,6.916667,0.083333,0,,,0,0,8,0,0,8,81.72,4,0,8
67e77ffa-0de3-4a39-bf9f-bcb190061238,2022-10-15 03:27:02,2022-10-15,3,27,Grocery2,16734646,9.35,0.116667,0,,,0,0,2,0,0,2,13.34,2,0,2
7f5f9dde-e4c6-4bf3-a1ff-87e7d077916a,2022-10-15 03:23:55,2022-10-15,3,23,Grocery2,16072547,15.416667,0.4,0,,,0,0,13,1,1,12,77.15,8,1,13
1dc047dd-1e66-4b73-b506-131e1c8bee4b,2022-10-15 03:23:08,2022-10-15,3,23,DashMart1,828937,4.966667,6.516667,0,,,0,0,2,0,0,2,23.18,1,0,2
a26e91e7-68aa-4eda-ab2c-8f57269f7e99,2022-10-15 03:17:53,2022-10-15,3,17,DashMart1,16297753,0.366667,1.466667,0,,,0,0,1,0,0,1,5.99,1,0,1
ed2b4458-2b3c-407e-b0fd-aed08aa244b4,2022-10-15 03:12:21,2022-10-15,3,12,Grocery1,606237,5.5,15.216667,0,,,0,0,2,2,1,0,12.98,1,1,2
c8781734-4dbf-4151-a565-660ef746b091,2022-10-15 03:11:05,2022-10-15,3,11,DashMart1,21700489,1.65,0.266667,0,,,0,0,3,0,0,3,16.27,2,0,3
73364ddd-08bd-4a17-be5a-dd5982c748ae,2022-10-15 03:10:14,2022-10-15,3,10,DashMart1,18584237,0.516667,9.566667,0,,,0,0,1,0,0,1,8.99,1,0,1
aa138956-330a-4f03-adda-81a73bb9c249,2022-10-15 03:09:30,2022-10-15,3,9,DashMart1,4438647,1.15,0.283333,1,,,0,0,3,0,0,3,15.47,1,0,3
12b50c8e-71e1-4e0a-be86-87114d5bd05e,2022-10-15 03:07:25,2022-10-15,3,7,DashMart1,9484649,6.55,0.116667,0,,,0,0,2,0,0,2,17.98,1,0,2
ac69bab3-6371-4a82-a064-503211deadcd,2022-10-15 03:03:21,2022-10-15,3,3,DashMart1,18641198,1.083333,1.783333,0,,,0,0,5,0,0,5,23.95,3,0,5
54d9879a-dd3c-40bc-be07-475fb9f4cffd,2022-10-15 03:01:02,2022-10-15,3,1,DashMart1,14827828,4.65,0.8,0,,,0,0,6,0,0,6,21.740000000000002,5,0,6
1ab106e8-074f-4b3f-9236-993414307f14,2022-10-15 03:00:41,2022-10-15,3,0,DashMart1,14793721,3.866667,2.816667,0,,,0,0,4,0,0,4,12.66,2,0,4
b715801c-e0c5-4197-8bcc-a771f982502a,2022-10-15 02:59:11,2022-10-15,2,59,DashMart1,16808873,3.1,2.583333,0,,,0,0,3,0,0,3,13.770000000000001,3,0,3
03fd5a96-e7af-46b1-8e62-5ee1a0225bdd,2022-10-15 02:59:03,2022-10-15,2,59,Grocery2,6619837,1.35,0.166667,0,,,0,0,6,2,2,4,33.599999999999994,5,2,6
2a4f690c-653d-4147-b882-9fb4a002805b,2022-10-15 02:58:55,2022-10-15,2,58,DashMart1,1851065,0.016667,0.25,0,,,0,0,2,0,0,2,6.98,2,0,2
fdf3dfed-b186-4566-9b56-ebedc3c457c4,2022-10-15 02:53:51,2022-10-15,2,53,Grocery2,16801495,4.066667,12.6,0,,,0,0,1,0,0,1,3.8,1,0,1
f027d81a-97b3-4eb9-8ba0-63b6c00352a5,2022-10-15 02:47:36,2022-10-15,2,47,DashMart1,15510588,0.05,0.15,0,,,0,0,1,0,0,1,14.99,1,0,1
40a7a457-fc09-4747-845e-9d50d39943df,2022-10-15 02:39:35,2022-10-15,2,39,DashMart1,12232638,1.166667,5.183333,0,,,0,0,8,0,0,8,50.420000000000009,3,0,8
5479bebb-2ea9-4142-82dc-a1ba6b40c63e,2022-10-15 02:38:10,2022-10-15,2,38,DashMart1,14622346,0.016667,0.233333,0,,,0,0,5,0,0,5,42.75,4,0,5
0b81fb5a-458b-49c5-bbb1-cc6200fd582a,2022-10-15 02:38:07,2022-10-15,2,38,DashMart1,14622346,0.016667,0.916667,0,,,0,0,3,0,0,3,14.47,3,0,3
e99d1d74-8adf-4152-85d0-40c2361745bf,2022-10-15 02:36:00,2022-10-15,2,36,DashMart1,12232638,1.166667,7.216667,0,,,0,0,2,0,0,2,12.950000000000001,1,0,2
5c8462cf-708d-4457-a7d6-6407e02e8ae2,2022-10-15 02:32:32,2022-10-15,2,32,DashMart1,2983664,5.183333,0.383333,0,,,0,0,2,0,0,2,12.08,1,0,2
c443daf2-464a-406b-8640-fd99e461eb1b,2022-10-15 02:32:06,2022-10-15,2,32,Grocery1,7045691,2.95,0.166667,0,,,0,0,2,1,1,1,76.789999999999992,2,1,2
9e3e5520-1061-492d-a3b1-2d5bc397634d,2022-10-15 02:31:39,2022-10-15,2,31,DashMart1,19671947,1.983333,0.583333,0,,,0,0,8,0,0,8,28.33,3,0,8
31d36d5e-2394-4d6a-a2f1-f6041979a5e2,2022-10-15 02:28:49,2022-10-15,2,28,DashMart1,18778208,7.25,20.2,1,,,0,0,2,0,0,2,19.18,2,0,2
2b25357a-16c6-42b1-b3c3-b4bd43ec945c,2022-10-15 02:28:30,2022-10-15,2,28,DashMart1,12569868,0.05,0.366667,0,,,0,0,4,0,0,4,16.26,2,0,4
7b3337ff-24ec-4aaf-89bb-d5a8f9e84489,2022-10-15 02:26:13,2022-10-15,2,26,Grocery2,16072547,4.066667,0.216667,0,,,0,0,6,2,2,4,58.499999999999993,4,2,6
fd381287-76db-4778-a575-82d7e044344c,2022-10-15 02:24:52,2022-10-15,2,24,DashMart1,828937,0.05,0.4,0,,,0,0,12,0,0,12,57.480000000000011,7,0,12
6f3003f5-7304-4373-95ab-74f29f422627,2022-10-15 02:22:39,2022-10-15,2,22,Grocery3,10192666,9.15,1.533333,0,,,0,0,8,1,1,7,34.1,5,1,8
ae6e2f09-dd6e-4155-8a98-4ebc7fbc3278,2022-10-15 02:21:28,2022-10-15,2,21,Grocery1,2446877,0.583333,0.183333,0,,,0,0,21,5,5,16,74.600000000000009,10,5,21
9a852e2e-38bc-4848-b5d2-1568ad47c2a6,2022-10-15 02:15:59,2022-10-15,2,15,Grocery1,11755591,5.266667,15.466667,0,,,0,0,9,2,0,7,34.2,3,0,9
6000c578-e372-4c0d-8de3-47f3fee1cd05,2022-10-15 02:15:31,2022-10-15,2,15,Grocery1,18769047,5.25,26.916667,0,,,0,0,4,1,0,3,31.05,2,0,4
b547eaf1-5c6a-4b8d-8386-fb3c14c88802,2022-10-15 02:14:40,2022-10-15,2,14,DashMart1,968624,2.8,0.333333,0,,,0,0,2,0,0,2,17.98,2,0,2
e8f5daaf-505d-4e37-bede-f8ad8e4e0487,2022-10-15 02:14:39,2022-10-15,2,14,DashMart1,828937,0.05,10.466667,0,,,0,0,3,0,0,3,12.17,2,0,3
ed44c57a-cf77-4cdd-8a42-f7e4d0e32e71,2022-10-15 02:12:34,2022-10-15,2,12,DashMart1,968624,2.8,0.333333,0,,,0,0,7,0,0,7,37.830000000000005,4,0,7
48367175-3cd8-4c44-a21d-aa7120cd08be,2022-10-15 02:06:00,2022-10-15,2,6,DashMart1,,,,0,,,0,0,1,0,0,1,1.99,1,0,1
96b12dc0-bf5b-44ab-91f7-123d377f2f84,2022-10-15 02:05:14,2022-10-15,2,5,Grocery2,18028812,11.583333,0.183333,0,,,0,0,2,0,0,2,12.850000000000001,2,0,2
b39bfcca-474a-49fd-b90e-627670b27c8b,2022-10-15 02:04:31,2022-10-15,2,4,DashMart1,20423109,3.75,21.416667,0,,,0,0,5,0,0,5,22.15,4,0,5
4974e96b-8eaf-446b-8050-cdbaf84f4b85,2022-10-15 02:01:45,2022-10-15,2,1,DashMart1,12669227,1.0,9.433333,0,,,0,0,8,0,0,8,59.52,5,0,8
12956ad3-5f61-4fd2-b27d-e8e66ddb00d7,2022-10-15 01:59:04,2022-10-15,1,59,Grocery2,1598855,12.45,0.9,0,,,0,0,10,2,1,8,43.900000000000006,6,1,10
27e7933d-54f2-437e-b292-ff1c56493cbc,2022-10-15 01:58:49,2022-10-15,1,58,Grocery1,4136034,1.95,19.283333,0,,,0,0,2,0,0,2,20.15,2,0,2
a3ae9675-62fa-4a49-b7b7-6cf21472c154,2022-10-15 01:57:55,2022-10-15,1,57,DashMart1,9484649,1.55,13.5,1,,,0,0,1,0,0,1,13.09,1,0,1
164d65ef-d469-4efb-b16f-331aeaf596eb,2022-10-15 01:56:52,2022-10-15,1,56,DashMart1,21294658,0.033333,0.083333,0,,,0,0,8,0,0,8,24.020000000000003,5,0,8
14c4ae14-5399-4142-a202-23d01f26d82b,2022-10-15 01:56:08,2022-10-15,1,56,DashMart1,1800227,14.216667,17.466667,1,,,0,0,8,1,0,7,24.02,2,0,8
124fb1e5-4dc0-4536-8928-771bde9a428d,2022-10-15 01:55:19,2022-10-15,1,55,DashMart1,18994983,10.4,8.266667,1,,,0,1,2,0,0,2,37.480000000000004,2,0,2
2d9da6cd-5bab-466f-9f66-9d6762701509,2022-10-15 01:51:49,2022-10-15,1,51,DashMart1,19671947,0.816667,0.5,0,,,0,0,1,0,0,1,19.99,1,0,1
4198dbd4-c32b-4ef6-abbc-c7bfa7a67bc5,2022-10-15 01:50:15,2022-10-15,1,50,DashMart1,1525083,1.316667,2.616667,0,,,0,0,10,0,0,10,26.599999999999998,3,0,10
f85dbfc9-006e-45fc-8d2e-2223a8ce1338,2022-10-15 01:49:16,2022-10-15,1,49,DashMart1,7750906,3.55,0.1,0,,,0,0,4,0,0,4,17.560000000000002,4,0,4
6c42c323-551e-40a5-8736-51a9a550d49b,2022-10-15 01:47:43,2022-10-15,1,47,Grocery2,16734646,4.883333,12.466667,0,,,0,0,1,0,0,1,2.9,1,0,1
dba75d63-d481-4d68-950e-19e6f83c8d44,2022-10-15 01:46:15,2022-10-15,1,46,Grocery1,5784382,10.266667,15.183333,0,,,0,0,1,0,0,1,2.3,1,0,1
20ef8fed-ee16-4ac2-8b86-49b72b9ae683,2022-10-15 01:45:57,2022-10-15,1,45,Grocery1,3348411,4.25,4.816667,0,,,0,0,4,1,1,3,20.7,4,1,4
a3dc7f07-6468-450e-83c9-9b217b9edd29,2022-10-15 01:42:47,2022-10-15,1,42,DashMart1,1525083,1.316667,8.95,0,,,0,0,3,0,0,3,9.870000000000001,2,0,3
30aef3e3-7141-4461-b4b9-257be0b52496,2022-10-15 01:37:50,2022-10-15,1,37,DashMart1,17282784,4.583333,1.783333,0,,,0,0,3,0,0,3,9.77,3,0,3
b4157408-5c88-4033-972b-e6affdb7587d,2022-10-15 01:37:47,2022-10-15,1,37,DashMart1,14827828,1.033333,,0,,,0,0,1,0,0,1,4.99,1,0,1
017022e3-1154-4927-87c8-55389979e56a,2022-10-15 01:36:07,2022-10-15,1,36,DashMart1,20693461,0.85,5.366667,0,,,0,0,1,0,0,1,8.29,1,0,1
af15555e-3380-4065-a195-8ab61247e81b,2022-10-15 01:34:23,2022-10-15,1,34,DashMart1,1820814,0.05,0.1,0,,,0,0,10,0,0,10,30.699999999999996,3,0,10
8c4b0d95-7186-41b9-a233-c74b4a2f861b,2022-10-15 01:33:55,2022-10-15,1,33,Grocery2,17891870,8.866667,16.15,0,,,0,0,11,1,1,10,49.789999999999992,9,1,11
2bd8b465-4f76-4aad-8736-e522a50e7420,2022-10-15 01:31:25,2022-10-15,1,31,DashMart1,12569868,0.05,0.083333,0,,,0,0,3,0,0,3,14.07,2,0,3
0c873a54-ec3e-4468-9b7c-49c566d32133,2022-10-15 01:30:22,2022-10-15,1,30,DashMart1,18334304,1.7,30.75,1,,,0,0,1,0,0,1,13.99,1,0,1
afbcf570-e7e1-404d-962c-48a2031a0f6f,2022-10-15 01:29:56,2022-10-15,1,29,Grocery1,16990594,3.3,0.216667,0,,,0,0,1,0,0,1,14.7,1,0,1
81a3b2a8-34db-47de-9839-7e54887f6772,2022-10-15 01:29:03,2022-10-15,1,29,DashMart1,11424400,0.216667,4.25,0,,,0,0,1,0,0,1,12.99,1,0,1
e753636e-4ed2-4bd8-885d-7b2f17548b7b,2022-10-15 01:28:35,2022-10-15,1,28,DashMart1,12946485,0.066667,9.166667,0,,,0,0,1,0,0,1,12.99,1,0,1
a00ec070-a67c-4ffd-b9ab-ea30b55233ba,2022-10-15 01:28:15,2022-10-15,1,28,Grocery1,22432460,2.266667,2.866667,0,,,0,0,1,0,0,1,2.4,1,0,1
6c48ff0d-90e6-4ec2-a3e7-33fd7142411f,2022-10-15 01:26:24,2022-10-15,1,26,DashMart1,3495732,2.166667,3.583333,0,,,0,0,6,0,0,6,15.32,5,0,6
ae41cf40-4dd5-4e4c-a743-92d8211659b7,2022-10-15 01:17:15,2022-10-15,1,17,Grocery1,2999922,2.266667,2.5,0,,,0,0,5,0,0,5,29.189999999999998,3,0,5
67b123df-57a0-49c2-88bd-d66650cf79c9,2022-10-15 01:16:28,2022-10-15,1,16,Grocery1,17988674,1.266667,30.533333,0,,,0,0,8,2,2,6,25.65,7,2,8
bab6b546-00ea-4980-9dcb-f611e5ca4d24,2022-10-15 01:12:21,2022-10-15,1,12,DashMart1,11424400,0.216667,20.283333,0,,,0,0,2,0,0,2,12.28,1,0,2
155c1369-8773-4ca9-b164-a0ea477a15a6,2022-10-15 01:12:01,2022-10-15,1,12,DashMart1,17933117,4.166667,2.283333,0,,,0,0,3,0,0,3,17.07,2,0,3
f8c05ca1-fb0c-4c7b-bd0a-182b4b1c295c,2022-10-15 01:10:49,2022-10-15,1,10,Grocery1,5668181,5.066667,2.883333,0,,,0,0,12,1,0,11,36.44,7,0,12
f7b7bfa6-3247-459e-a10d-d8b30faa6d01,2022-10-15 01:10:34,2022-10-15,1,10,DashMart1,12699954,4.166667,8.75,0,,,0,0,4,0,0,4,26.86,3,0,4
17d92843-8072-4143-ba30-48e7d802b251,2022-10-15 01:05:12,2022-10-15,1,5,Grocery1,5456278,3.15,0.116667,0,,,0,0,8,1,1,7,37.1,4,1,8
46cf33f1-0bc5-4335-bd5e-fc829dcfb13d,2022-10-15 00:58:08,2022-10-15,0,58,DashMart1,19119337,13.333333,4.883333,0,,,0,0,8,0,0,8,51.92,7,0,8
b8cf43f4-91a6-4632-92eb-1eb4c39f1a1d,2022-10-15 00:57:06,2022-10-15,0,57,DashMart1,12569868,2.466667,3.133333,0,,,0,0,2,0,0,2,11.98,2,0,2
961da5ec-6392-474a-a861-10045cadafc8,2022-10-15 00:48:41,2022-10-15,0,48,Grocery2,13353334,18.766667,4.416667,0,,,0,0,12,0,0,12,72.539999999999992,6,0,12
8b8cc078-8a93-40c3-a0fe-d2bca17b0045,2022-10-15 00:47:41,2022-10-15,0,47,DashMart1,11878332,4.05,6.25,0,,,0,0,2,0,0,2,9.68,2,0,2
85077d3b-7dc3-4587-a77c-be4cdd574582,2022-10-15 00:43:14,2022-10-15,0,43,DashMart1,1580975,3.466667,5.9,0,,,0,0,2,0,0,2,7.18,2,0,2
d29ec9bc-f2c7-4d3a-a4ea-05c7c9de7730,2022-10-15 00:39:43,2022-10-15,0,39,DashMart1,22446589,0.083333,0.116667,0,,,0,0,6,0,0,6,29.740000000000002,3,0,6
9963f090-bd32-447e-aea8-9b554efc5186,2022-10-15 00:37:27,2022-10-15,0,37,Grocery1,2446877,2.566667,0.1,0,,,0,0,6,0,0,6,23.0,4,0,6
ea148d31-56bf-4e87-8cd3-71ba4a8af48a,2022-10-15 00:33:49,2022-10-15,0,33,Grocery2,6619837,0.616667,0.15,0,,,0,0,26,6,6,20,166.94999999999996,7,6,26
360be939-130f-4e04-a8e6-ee8693476b75,2022-10-15 00:33:36,2022-10-15,0,33,DashMart1,18054325,2.95,7.033333,0,,,0,0,1,0,0,1,6.99,1,0,1
7b22c8b9-2d6f-4974-bb24-642b727a5fcf,2022-10-15 00:25:43,2022-10-15,0,25,DashMart1,13080713,0.433333,1.833333,0,,,0,0,2,0,0,2,7.98,1,0,2
12da8b13-8e93-456d-b661-55a5891ae215,2022-10-15 00:21:53,2022-10-15,0,21,DashMart1,17933117,2.266667,4.866667,0,,,0,0,3,0,0,3,15.97,2,0,3
f57bd88c-c258-402c-be42-fdb2b682508f,2022-10-15 00:20:58,2022-10-15,0,20,DashMart1,13080713,0.0,0.416667,0,,,0,0,6,0,0,6,26.939999999999998,2,0,6
